"punt_global","cole_depto_ubicacion"
"259","CALDAS"
"259","CALDAS"
"242","CORDOBA"
"242","CORDOBA"
"237","ANTIOQUIA"
"237","ANTIOQUIA"
"207","VALLE"
"207","VALLE"
"295","RISARALDA"
"295","RISARALDA"
"316","BOGOTÁ"
"316","BOGOTÁ"
"191","ANTIOQUIA"
"191","ANTIOQUIA"
"237","BOGOTÁ"
"237","BOGOTÁ"
"242","TOLIMA"
"242","TOLIMA"
"245","MAGDALENA"
"245","MAGDALENA"
"185","RISARALDA"
"185","RISARALDA"
"247","CESAR"
"247","CESAR"
"207","CORDOBA"
"207","CORDOBA"
"276","BOLIVAR"
"276","BOLIVAR"
"248","ATLANTICO"
"248","ATLANTICO"
"183","TOLIMA"
"183","TOLIMA"
"159","RISARALDA"
"159","RISARALDA"
"342","SANTANDER"
"342","SANTANDER"
"254","TOLIMA"
"254","TOLIMA"
"184","ATLANTICO"
"184","ATLANTICO"
"291","VALLE"
"244","HUILA"
"244","HUILA"
"195","NARIÑO"
"195","NARIÑO"
"193","GUAINIA"
"193","GUAINIA"
"171","HUILA"
"171","HUILA"
"231","PUTUMAYO"
"231","PUTUMAYO"
"262","META"
"262","META"
"169","SUCRE"
"169","SUCRE"
"235","VALLE"
"235","VALLE"
"235","VALLE"
"235","VALLE"
"301","VALLE"
"301","VALLE"
"201","MAGDALENA"
"201","MAGDALENA"
"181","MAGDALENA"
"181","MAGDALENA"
"226","CALDAS"
"226","CALDAS"
"273","NARIÑO"
"273","NARIÑO"
"187","VALLE"
"187","VALLE"
"238","BOGOTÁ"
"238","BOGOTÁ"
"197","VALLE"
"197","VALLE"
"295","SANTANDER"
"295","SANTANDER"
"227","ATLANTICO"
"227","ATLANTICO"
"296","VALLE"
"296","VALLE"
"268","CAUCA"
"268","CAUCA"
"218","CASANARE"
"218","CASANARE"
"229","VALLE"
"229","VALLE"
"203","CORDOBA"
"203","CORDOBA"
"210","ATLANTICO"
"210","ATLANTICO"
"198","BOYACA"
"198","BOYACA"
"169","CESAR"
"169","CESAR"
"231","LA GUAJIRA"
"231","LA GUAJIRA"
"263","CESAR"
"263","CESAR"
"297","MAGDALENA"
"297","MAGDALENA"
"272","VALLE"
"223","BOYACA"
"223","BOYACA"
"287","VALLE"
"266","VAUPES"
"266","VAUPES"
"263","SANTANDER"
"263","SANTANDER"
"197","NARIÑO"
"197","NARIÑO"
"266","META"
"266","META"
"221","VALLE"
"221","VALLE"
"237","CAUCA"
"237","CAUCA"
"203","NORTE SANTANDER"
"203","NORTE SANTANDER"
"232","ATLANTICO"
"232","ATLANTICO"
"311","ARAUCA"
"311","ARAUCA"
"210","VALLE"
"210","VALLE"
"210","VALLE"
"210","VALLE"
"203","BOLIVAR"
"203","BOLIVAR"
"310","BOGOTÁ"
"310","BOGOTÁ"
"204","VALLE"
"204","VALLE"
"268","CUNDINAMARCA"
"268","CUNDINAMARCA"
"172","ANTIOQUIA"
"172","ANTIOQUIA"
"278","CORDOBA"
"278","CORDOBA"
"340","ATLANTICO"
"340","ATLANTICO"
"245","BOLIVAR"
"245","BOLIVAR"
"264","VALLE"
"310","BOGOTÁ"
"310","BOGOTÁ"
"313","BOGOTÁ"
"313","BOGOTÁ"
"277","SUCRE"
"277","SUCRE"
"255","CORDOBA"
"255","CORDOBA"
"209","TOLIMA"
"209","TOLIMA"
"240","CUNDINAMARCA"
"240","CUNDINAMARCA"
"280","ATLANTICO"
"280","ATLANTICO"
"278","RISARALDA"
"278","RISARALDA"
"252","BOGOTÁ"
"252","BOGOTÁ"
"205","VALLE"
"205","VALLE"
"188","BOGOTÁ"
"188","BOGOTÁ"
"249","MAGDALENA"
"249","MAGDALENA"
"155","VALLE"
"155","VALLE"
"202","SUCRE"
"202","SUCRE"
"283","VALLE"
"283","VALLE"
"347","VALLE"
"347","VALLE"
"272","NARIÑO"
"272","NARIÑO"
"232","ANTIOQUIA"
"232","ANTIOQUIA"
"226","VALLE"
"226","VALLE"
"256","MAGDALENA"
"256","MAGDALENA"
"230","CORDOBA"
"230","CORDOBA"
"233","CHOCO"
"233","CHOCO"
"264","SUCRE"
"264","SUCRE"
"253","BOGOTÁ"
"253","BOGOTÁ"
"304","HUILA"
"304","HUILA"
"350","SANTANDER"
"350","SANTANDER"
"268","META"
"268","META"
"266","NARIÑO"
"266","NARIÑO"
"148","NARIÑO"
"148","NARIÑO"
"212","BOGOTÁ"
"212","BOGOTÁ"
"237","SANTANDER"
"237","SANTANDER"
"193","VALLE"
"193","VALLE"
"262","ANTIOQUIA"
"262","ANTIOQUIA"
"212","ANTIOQUIA"
"212","ANTIOQUIA"
"287","RISARALDA"
"287","RISARALDA"
"286","BOLIVAR"
"286","BOLIVAR"
"260","VALLE"
"251","BOLIVAR"
"251","BOLIVAR"
"243","CASANARE"
"243","CASANARE"
"212","BOGOTÁ"
"212","BOGOTÁ"
"172","ANTIOQUIA"
"172","ANTIOQUIA"
"275","BOLIVAR"
"275","BOLIVAR"
"279","BOLIVAR"
"279","BOLIVAR"
"286","SANTANDER"
"286","SANTANDER"
"174","NORTE SANTANDER"
"174","NORTE SANTANDER"
"153","GUAINIA"
"153","GUAINIA"
"206","LA GUAJIRA"
"206","LA GUAJIRA"
"228","VALLE"
"228","VALLE"
"288","CUNDINAMARCA"
"288","CUNDINAMARCA"
"175","ATLANTICO"
"175","ATLANTICO"
"275","ATLANTICO"
"275","ATLANTICO"
"253","NORTE SANTANDER"
"253","NORTE SANTANDER"
"205","SUCRE"
"205","SUCRE"
"272","BOGOTÁ"
"272","BOGOTÁ"
"273","VALLE"
"273","VALLE"
"145","BOLIVAR"
"145","BOLIVAR"
"310","CALDAS"
"310","CALDAS"
"199","CESAR"
"199","CESAR"
"229","MAGDALENA"
"229","MAGDALENA"
"218","CORDOBA"
"218","CORDOBA"
"171","ANTIOQUIA"
"171","ANTIOQUIA"
"234","ATLANTICO"
"234","ATLANTICO"
"250","ANTIOQUIA"
"250","ANTIOQUIA"
"237","HUILA"
"237","HUILA"
"235","RISARALDA"
"235","RISARALDA"
"177","VALLE"
"177","VALLE"
"207","SANTANDER"
"207","SANTANDER"
"188","SUCRE"
"188","SUCRE"
"213","CAUCA"
"213","CAUCA"
"313","QUINDIO"
"313","QUINDIO"
"258","SANTANDER"
"258","SANTANDER"
"288","BOGOTÁ"
"288","BOGOTÁ"
"258","NORTE SANTANDER"
"258","NORTE SANTANDER"
"332","ANTIOQUIA"
"332","ANTIOQUIA"
"285","SANTANDER"
"285","SANTANDER"
"162","QUINDIO"
"162","QUINDIO"
"242","HUILA"
"242","HUILA"
"254","BOGOTÁ"
"254","BOGOTÁ"
"263","TOLIMA"
"263","TOLIMA"
"213","BOGOTÁ"
"213","BOGOTÁ"
"211","CESAR"
"211","CESAR"
"269","ATLANTICO"
"269","ATLANTICO"
"248","CALDAS"
"248","CALDAS"
"201","BOGOTÁ"
"201","BOGOTÁ"
"227","BOLIVAR"
"227","BOLIVAR"
"311","HUILA"
"311","HUILA"
"338","BOGOTÁ"
"248","BOGOTÁ"
"248","BOGOTÁ"
"258","NARIÑO"
"258","NARIÑO"
"201","CUNDINAMARCA"
"201","CUNDINAMARCA"
"307","ANTIOQUIA"
"307","ANTIOQUIA"
"225","BOLIVAR"
"225","BOLIVAR"
"296","ARAUCA"
"296","ARAUCA"
"239","ANTIOQUIA"
"239","ANTIOQUIA"
"207","BOGOTÁ"
"207","BOGOTÁ"
"304","VALLE"
"304","VALLE"
"322","VALLE"
"322","VALLE"
"201","BOGOTÁ"
"201","BOGOTÁ"
"221","BOLIVAR"
"221","BOLIVAR"
"212","TOLIMA"
"212","TOLIMA"
"276","CUNDINAMARCA"
"299","BOGOTÁ"
"299","BOGOTÁ"
"211","BOGOTÁ"
"211","BOGOTÁ"
"281","ANTIOQUIA"
"281","ANTIOQUIA"
"262","VALLE"
"262","VALLE"
"191","BOLIVAR"
"191","BOLIVAR"
"266","VALLE"
"266","VALLE"
"277","BOGOTÁ"
"277","BOGOTÁ"
"235","ANTIOQUIA"
"235","ANTIOQUIA"
"299","BOGOTÁ"
"299","BOGOTÁ"
"331","RISARALDA"
"331","RISARALDA"
"232","BOYACA"
"232","BOYACA"
"275","BOGOTÁ"
"328","ANTIOQUIA"
"328","ANTIOQUIA"
"321","BOGOTÁ"
"321","BOGOTÁ"
"342","ARAUCA"
"342","ARAUCA"
"342","ARAUCA"
"342","ARAUCA"
"212","BOGOTÁ"
"212","BOGOTÁ"
"215","VALLE"
"326","ANTIOQUIA"
"326","ANTIOQUIA"
"284","CUNDINAMARCA"
"284","CUNDINAMARCA"
"238","RISARALDA"
"238","RISARALDA"
"255","VALLE"
"210","ATLANTICO"
"210","ATLANTICO"
"251","ANTIOQUIA"
"251","ANTIOQUIA"
"198","CHOCO"
"198","CHOCO"
"287","CESAR"
"287","CESAR"
"272","CUNDINAMARCA"
"272","CUNDINAMARCA"
"207","TOLIMA"
"207","TOLIMA"
"159","ANTIOQUIA"
"159","ANTIOQUIA"
"261","BOGOTÁ"
"261","BOGOTÁ"
"221","CORDOBA"
"221","CORDOBA"
"240","CAUCA"
"240","CAUCA"
"186","CAQUETA"
"186","CAQUETA"
"346","BOGOTÁ"
"346","BOGOTÁ"
"157","ANTIOQUIA"
"288","ATLANTICO"
"288","ATLANTICO"
"262","VALLE"
"262","VALLE"
"182","CHOCO"
"182","CHOCO"
"147","TOLIMA"
"147","TOLIMA"
"227","BOYACA"
"227","BOYACA"
"266","CAQUETA"
"266","CAQUETA"
"234","BOGOTÁ"
"234","BOGOTÁ"
"203","RISARALDA"
"203","RISARALDA"
"222","ANTIOQUIA"
"222","ANTIOQUIA"
"185","ANTIOQUIA"
"185","ANTIOQUIA"
"300","ANTIOQUIA"
"300","ANTIOQUIA"
"238","ATLANTICO"
"238","ATLANTICO"
"198","BOGOTÁ"
"198","BOGOTÁ"
"280","CUNDINAMARCA"
"280","CUNDINAMARCA"
"247","BOGOTÁ"
"247","BOGOTÁ"
"258","CESAR"
"258","CESAR"
"317","QUINDIO"
"317","QUINDIO"
"192","MAGDALENA"
"192","MAGDALENA"
"219","BOGOTÁ"
"219","BOGOTÁ"
"275","ATLANTICO"
"275","ATLANTICO"
"255","ANTIOQUIA"
"255","ANTIOQUIA"
"267","ANTIOQUIA"
"267","ANTIOQUIA"
"260","TOLIMA"
"260","TOLIMA"
"309","TOLIMA"
"309","TOLIMA"
"228","BOLIVAR"
"228","BOLIVAR"
"325","ATLANTICO"
"325","ATLANTICO"
"173","GUAVIARE"
"173","GUAVIARE"
"183","LA GUAJIRA"
"183","LA GUAJIRA"
"347","SANTANDER"
"347","SANTANDER"
"167","META"
"167","META"
"277","ANTIOQUIA"
"277","ANTIOQUIA"
"301","SANTANDER"
"301","SANTANDER"
"334","ANTIOQUIA"
"334","ANTIOQUIA"
"229","VALLE"
"227","CASANARE"
"227","CASANARE"
"299","CUNDINAMARCA"
"299","CUNDINAMARCA"
"201","CORDOBA"
"201","CORDOBA"
"178","BOGOTÁ"
"178","BOGOTÁ"
"258","VALLE"
"258","VALLE"
"140","SUCRE"
"140","SUCRE"
"243","ANTIOQUIA"
"243","ANTIOQUIA"
"205","QUINDIO"
"205","QUINDIO"
"304","ANTIOQUIA"
"304","ANTIOQUIA"
"261","RISARALDA"
"261","RISARALDA"
"211","CESAR"
"211","CESAR"
"235","HUILA"
"235","HUILA"
"234","ATLANTICO"
"234","ATLANTICO"
"294","CUNDINAMARCA"
"294","CUNDINAMARCA"
"275","RISARALDA"
"275","RISARALDA"
"237","CORDOBA"
"237","CORDOBA"
"232","CORDOBA"
"232","CORDOBA"
"204","SUCRE"
"204","SUCRE"
"197","BOGOTÁ"
"197","BOGOTÁ"
"205","ANTIOQUIA"
"205","ANTIOQUIA"
"199","CORDOBA"
"199","CORDOBA"
"224","ARAUCA"
"224","ARAUCA"
"272","CUNDINAMARCA"
"272","CUNDINAMARCA"
"276","NARIÑO"
"276","NARIÑO"
"345","META"
"345","META"
"193","CORDOBA"
"193","CORDOBA"
"182","LA GUAJIRA"
"182","LA GUAJIRA"
"175","CASANARE"
"175","CASANARE"
"231","CAQUETA"
"231","CAQUETA"
"213","NARIÑO"
"213","NARIÑO"
"313","HUILA"
"313","HUILA"
"283","BOGOTÁ"
"283","BOGOTÁ"
"292","SANTANDER"
"292","SANTANDER"
"290","VALLE"
"290","VALLE"
"144","NARIÑO"
"144","NARIÑO"
"185","SANTANDER"
"185","SANTANDER"
"275","HUILA"
"275","HUILA"
"250","BOGOTÁ"
"250","BOGOTÁ"
"224","META"
"224","META"
"238","CASANARE"
"238","CASANARE"
"293","VALLE"
"293","VALLE"
"197","CORDOBA"
"197","CORDOBA"
"172","NARIÑO"
"172","NARIÑO"
"226","CUNDINAMARCA"
"226","CUNDINAMARCA"
"206","META"
"206","META"
"203","TOLIMA"
"203","TOLIMA"
"296","BOGOTÁ"
"296","BOGOTÁ"
"183","MAGDALENA"
"183","MAGDALENA"
"197","ANTIOQUIA"
"199","BOLIVAR"
"199","BOLIVAR"
"323","BOGOTÁ"
"323","BOGOTÁ"
"178","ANTIOQUIA"
"178","ANTIOQUIA"
"320","VALLE"
"334","NORTE SANTANDER"
"334","NORTE SANTANDER"
"298","ANTIOQUIA"
"298","ANTIOQUIA"
"198","CORDOBA"
"198","CORDOBA"
"225","CORDOBA"
"225","CORDOBA"
"197","BOLIVAR"
"197","BOLIVAR"
"249","CUNDINAMARCA"
"249","CUNDINAMARCA"
"277","NARIÑO"
"277","NARIÑO"
"253","SUCRE"
"253","SUCRE"
"209","RISARALDA"
"209","RISARALDA"
"320","CASANARE"
"320","CASANARE"
"261","NARIÑO"
"261","NARIÑO"
"261","CUNDINAMARCA"
"261","CUNDINAMARCA"
"341","RISARALDA"
"341","RISARALDA"
"242","VALLE"
"242","VALLE"
"193","META"
"193","META"
"222","TOLIMA"
"222","TOLIMA"
"193","CAUCA"
"193","CAUCA"
"338","SUCRE"
"338","SUCRE"
